stock,date,second,number,inout_ratio,main_ratio,win,lose,money
2455,20180525,118.0,185.0,1.0,0.637837837838,2,7,988905.0
2455,20180604,155.0,108.0,0.84375,0.953703703704,0,3,993717.5
2455,20180612,105.0,230.0,0.954356846473,0.947826086957,1,0,1000872.5
2377,20180525,189.0,62.0,0.96875,0.693548387097,2,7,992405.0
2377,20180605,230.0,128.0,0.901408450704,0.671875,0,5,994597.5
3035,20180525,236.0,73.0,0.657657657658,0.465753424658,2,3,998171.0
3035,20180525,236.0,121.0,0.834482758621,0.661157024793,0,1,999078.5
2448,20180607,80.0,837.0,0.895187165775,0.494623655914,1,1,999605.75
3035,20180605,161.0,218.0,0.875502008032,0.669724770642,0,1,998973.5
2377,20180619,96.0,69.0,0.945205479452,0.68115942029,6,12,986186.5
3035,20180605,126.0,267.0,0.956989247312,0.408239700375,0,1,998973.0
3035,20180607,60.0,45.0,0.978260869565,0.8,2,2,998731.5
2377,20180619,146.0,194.0,0.984771573604,0.685567010309,1,4,994861.5
3035,20180613,75.0,74.0,1.0,0.716216216216,0,2,997977.0
2377,20180619,75.0,222.0,0.991071428571,0.869369369369,0,1,998395.0
2448,20180626,135.0,141.0,0.58024691358,0.510638297872,2,9,995652.0
3035,20180704,215.0,225.0,0.941422594142,0.666666666667,1,2,999753.0
2448,20180710,256.0,673.0,0.389918887601,0.404160475483,1,4,998583.75
2456,20180525,36.0,675.0,1.0,0.765925925926,2,1,1001492.5
2456,20180525,36.0,675.0,1.0,0.853333333333,2,1,1001492.5
5269,20180528,171.0,51.0,1.0,0.411764705882,3,1,1000262.5
2456,20180531,80.0,82.0,0.329317269076,0.780487804878,11,17,965837.5
5269,20180531,146.0,30.0,1.0,0.6,3,3,989765.0
2456,20180531,61.0,223.0,0.986725663717,0.856502242152,4,4,992642.5
5269,20180612,165.0,15.0,1.0,0.666666666667,3,4,983930.0
5269,20180612,30.0,12.0,1.0,0.75,5,4,985142.5
5269,20180612,170.0,31.0,0.939393939394,0.548387096774,2,1,999087.5
5269,20180612,146.0,28.0,0.903225806452,0.678571428571,2,0,1007230.0
5269,20180613,150.0,43.0,0.934782608696,0.372093023256,1,1,996035.0
5269,20180613,216.0,27.0,0.5625,0.407407407407,4,5,975895.0
5269,20180614,60.0,30.0,1.0,0.6,1,3,980605.0
5269,20180619,231.0,8.0,0.666666666667,0.625,15,14,944685.0
2456,20180605,130.0,434.0,0.834615384615,0.642857142857,3,2,996827.5
5269,20180619,25.0,5.0,1.0,0.8,6,8,964135.0
5269,20180619,186.0,53.0,0.623529411765,0.433962264151,0,2,985237.5
5269,20180619,86.0,10.0,0.833333333333,0.7,8,12,938812.5
5269,20180620,131.0,8.0,0.888888888889,0.75,10,12,948875.0
5269,20180621,232.0,9.0,0.75,0.666666666667,6,13,925960.0
5269,20180621,66.0,32.0,0.969696969697,0.6875,0,3,977855.0
5269,20180621,201.0,29.0,0.966666666667,0.689655172414,1,3,980157.5
2456,20180608,116.0,236.0,0.890566037736,0.563559322034,10,10,979162.5
5269,20180625,75.0,8.0,1.0,0.625,5,10,948277.5
5269,20180625,196.0,15.0,0.681818181818,0.6,3,4,978742.5
5269,20180626,55.0,12.0,1.0,0.75,3,3,989645.0
2456,20180611,136.0,346.0,0.786363636364,0.520231213873,3,9,975775.0
2313,20180703,236.0,230.0,0.771812080537,0.486956521739,1,6,998371.0
2456,20180611,75.0,398.0,0.681506849315,0.620603015075,1,5,984720.0
5269,20180709,161.0,21.0,0.913043478261,0.714285714286,1,1,994945.0
5269,20180713,206.0,9.0,0.9,0.777777777778,3,8,951075.0
2456,20180611,196.0,672.0,0.477611940299,0.400297619048,2,4,988712.5
2456,20180612,166.0,182.0,0.640845070423,0.368131868132,11,18,961482.5
2456,20180612,105.0,304.0,0.594911937378,0.546052631579,5,9,979262.5
2456,20180613,166.0,238.0,0.375394321767,0.378151260504,14,16,972217.5
2456,20180613,60.0,377.0,0.725,0.705570291777,3,6,986992.5
2456,20180613,55.0,132.0,1.0,0.643939393939,13,12,980730.0
2353,20180607,191.0,1242.0,0.967289719626,0.417069243156,0,3,998993.0
2456,20180614,185.0,901.0,0.652425778421,0.336293007769,2,4,990732.5
2456,20180614,136.0,440.0,0.726072607261,0.443181818182,7,9,982892.5
1707,20180627,155.0,50.0,1.0,0.56,1,2,997455.0
2456,20180615,191.0,262.0,0.796352583587,0.637404580153,7,6,990532.5
2456,20180625,101.0,45.0,0.978260869565,0.355555555556,18,24,955127.5
3443,20180606,235.0,62.0,0.805194805195,0.467741935484,5,7,975210.0
4906,20180528,166.0,122.0,0.931297709924,0.573770491803,6,7,998171.25
3443,20180606,30.0,79.0,1.0,0.670886075949,1,2,991970.0
4906,20180601,176.0,356.0,0.988888888889,0.626404494382,1,3,998837.0
3443,20180606,141.0,100.0,0.793650793651,0.41,1,5,977325.0
2456,20180626,216.0,496.0,0.815789473684,0.302419354839,8,10,978410.0
4906,20180604,131.0,744.0,0.941772151899,0.641129032258,0,1,999559.75
3443,20180608,181.0,88.0,0.642335766423,0.329545454545,5,10,965640.0
4906,20180607,115.0,120.0,0.75,0.775,1,3,998841.5
3443,20180613,206.0,39.0,0.886363636364,0.615384615385,3,6,981142.5
2456,20180627,130.0,618.0,0.958139534884,0.640776699029,2,1,999185.0
3443,20180613,60.0,64.0,0.955223880597,0.75,1,6,976492.5
